Cidade-Uf,mes/ano,chs
NOVA IGUACU-RJ,01/09/2022,"57,90%"
CAMPO GRANDE-MS,01/09/2022,"75,00%"
JOAO PESSOA-PB,01/09/2022,"68,90%"
SAO BERNARDO DO CAMPO-SP,01/09/2022,"69,80%"
OSASCO-SP,01/09/2022,"78,00%"
SANTO ANDRE-SP,01/09/2022,"89,20%"
JABOATAO DOS GUARARAPES-PE,01/09/2022,"48,70%"
SAO JOSE DOS CAMPOS-SP,01/09/2022,"69,70%"
CONTAGEM-MG,01/09/2022,"87,90%"
RIBEIRAO PRETO-SP,01/09/2022,"81,00%"
UBERLANDIA-MG,01/09/2022,"73,40%"
SOROCABA-SP,01/09/2022,"77,70%"
ARACAJU-SE,01/09/2022,"68,60%"
CUIABA-MT,01/09/2022,"63,80%"
FEIRA DE SANTANA-BA,01/09/2022,"50,00%"
JUIZ DE FORA-MG,01/09/2022,"68,60%"
JOINVILLE-SC,01/09/2022,"57,00%"
LONDRINA-PR,01/09/2022,"71,90%"
BELFORD ROXO-RJ,01/09/2022,"62,30%"
ANANINDEUA-PA,01/09/2022,"67,40%"
SAO JOAO DE MERITI-RJ,01/09/2022,"82,00%"
APARECIDA DE GOIANIA-GO,01/09/2022,"77,20%"
NITEROI-RJ,01/09/2022,"85,20%"
CAMPOS DOS GOYTACAZES-RJ,01/09/2022,"49,50%"
CAXIAS DO SUL-RS,01/09/2022,"67,30%"
MAUA-SP,01/09/2022,"68,70%"
FLORIANOPOLIS-SC,01/09/2022,"88,10%"
VILA VELHA-ES,01/09/2022,"76,70%"
SANTOS-SP,01/09/2022,"70,00%"
SAO JOSE DO RIO PRETO-SP,01/09/2022,"84,20%"
PORTO VELHO-RO,01/09/2022,"54,80%"
SERRA-ES,01/09/2022,"61,50%"
DIADEMA-SP,01/09/2022,"82,30%"
OLINDA-PE,01/09/2022,"72,20%"
MACAPA-AP,01/09/2022,"29,10%"
BETIM-MG,01/09/2022,"55,70%"
CAMPINA GRANDE-PB,01/09/2022,"61,30%"
MOGI DAS CRUZES-SP,01/09/2022,"71,90%"
CARAPICUIBA-SP,01/09/2022,"85,70%"
PIRACICABA-SP,01/09/2022,"65,90%"
MONTES CLAROS-MG,01/09/2022,"65,20%"
JUNDIAI-SP,01/09/2022,"76,60%"
MARINGA-PR,01/09/2022,"82,00%"
CARIACICA-ES,01/09/2022,"54,80%"
BAURU-SP,01/09/2022,"69,00%"
ANAPOLIS-GO,01/09/2022,"70,90%"
RIO BRANCO-AC,01/09/2022,"58,60%"
CANOAS-RS,01/09/2022,"85,20%"
SAO VICENTE-SP,01/09/2022,"56,30%"
VITORIA-ES,01/09/2022,"73,20%"
PELOTAS-RS,01/09/2022,"65,60%"
FRANCA-SP,01/09/2022,"61,70%"
ITAQUAQUECETUBA-SP,01/09/2022,"65,40%"
BLUMENAU-SC,01/09/2022,"67,80%"
PONTA GROSSA-PR,01/09/2022,"69,80%"
CARUARU-PE,01/09/2022,"55,20%"
CAUCAIA-CE,01/09/2022,"28,10%"
RIBEIRAO DAS NEVES-MG,01/09/2022,"62,20%"
VITORIA DA CONQUISTA-BA,01/09/2022,"53,50%"
PAULISTA-PE,01/09/2022,"61,10%"
PETROPOLIS-RJ,01/09/2022,"61,10%"
GUARUJA-SP,01/09/2022,"56,00%"
UBERABA-MG,01/09/2022,"77,90%"
PETROLINA-PE,01/09/2022,"36,10%"
BOA VISTA-RR,01/09/2022,"49,20%"
TAUBATE-SP,01/09/2022,"82,10%"
CASCAVEL-PR,01/09/2022,"69,00%"
SANTAREM-PA,01/09/2022,"58,60%"
LIMEIRA-SP,01/09/2022,"71,00%"
SUZANO-SP,01/09/2022,"68,90%"
SAO JOSE DOS PINHAIS-PR,01/09/2022,"67,00%"
PRAIA GRANDE-SP,01/09/2022,"83,30%"
GOVERNADOR VALADARES-MG,01/09/2022,"62,50%"
VOLTA REDONDA-RJ,01/09/2022,"65,20%"
GRAVATAI-RS,01/09/2022,"74,50%"
MOSSORO-RN,01/09/2022,"60,40%"
SANTA MARIA-RS,01/09/2022,"61,90%"
FOZ DO IGUACU-PR,01/09/2022,"67,00%"
VARZEA GRANDE-MT,01/09/2022,"60,80%"
NOVO HAMBURGO-RS,01/09/2022,"74,40%"
IMPERATRIZ-MA,01/09/2022,"63,60%"
JUAZEIRO DO NORTE-CE,01/09/2022,"61,00%"
SUMARE-SP,01/09/2022,"85,80%"
BARUERI-SP,01/09/2022,"74,60%"
IPATINGA-MG,01/09/2022,"69,00%"
CAMACARI-BA,01/09/2022,"35,70%"
VIAMAO-RS,01/09/2022,"52,10%"
EMBU DAS ARTES-SP,01/09/2022,"66,50%"
ITABORAI-RJ,01/09/2022,"28,90%"
TABOAO DA SERRA-SP,01/09/2022,"76,40%"
MAGE-RJ,01/09/2022,"29,70%"
MARABA-PA,01/09/2022,"25,40%"
PALMAS-TO,01/09/2022,"47,20%"
SAO CARLOS-SP,01/09/2022,"74,10%"
COLOMBO-PR,01/09/2022,"68,70%"
ARAPIRACA-AL,01/09/2022,"68,80%"
MARILIA-SP,01/09/2022,"68,90%"
SETE LAGOAS-MG,01/09/2022,"75,80%"
SAO LEOPOLDO-RS,01/09/2022,"79,30%"
DIVINOPOLIS-MG,01/09/2022,"82,80%"
MARACANAU-CE,01/09/2022,"48,00%"
AMERICANA-SP,01/09/2022,"88,20%"
JACAREI-SP,01/09/2022,"63,60%"
ITAPEVI-SP,01/09/2022,"70,90%"
PARNAMIRIM-RN,01/09/2022,"60,70%"
PRESIDENTE PRUDENTE-SP,01/09/2022,"74,90%"
ARARAQUARA-SP,01/09/2022,"70,00%"
MACAE-RJ,01/09/2022,"42,70%"
ITABUNA-BA,01/09/2022,"33,70%"
SAO JOSE-SC,01/09/2022,"97,20%"
SANTA LUZIA-MG,01/09/2022,"63,00%"
INDAIATUBA-SP,01/09/2022,"70,50%"
ALVORADA-RS,01/09/2022,"61,90%"
COTIA-SP,01/09/2022,"72,10%"
JUAZEIRO-BA,01/09/2022,"41,40%"
HORTOLANDIA-SP,01/09/2022,"86,90%"
RIO GRANDE-RS,01/09/2022,"51,60%"
DOURADOS-MS,01/09/2022,"71,50%"
CRICIUMA-SC,01/09/2022,"75,10%"
RONDONOPOLIS-MT,01/09/2022,"70,00%"
CACHOEIRO DE ITAPEMIRIM-ES,01/09/2022,"70,90%"
CABO FRIO-RJ,01/09/2022,"61,50%"
RIO CLARO-SP,01/09/2022,"63,90%"
SOBRAL-CE,01/09/2022,"53,90%"
SANTA BARBARA DOESTE-SP,01/09/2022,"78,70%"
PASSO FUNDO-RS,01/09/2022,"79,00%"
ARACATUBA-SP,01/09/2022,"84,00%"
CHAPECO-SC,01/09/2022,"58,90%"
ITAJAI-SC,01/09/2022,"79,30%"
ILHEUS-BA,01/09/2022,"53,30%"
CABO DE SANTO AGOSTINHO-PE,01/09/2022,"48,00%"
MESQUITA-RJ,01/09/2022,"90,10%"
FERRAZ DE VASCONCELOS-SP,01/09/2022,"82,00%"
NOVA FRIBURGO-RJ,01/09/2022,"45,30%"
BARRA MANSA-RJ,01/09/2022,"49,60%"
LAURO DE FREITAS-BA,01/09/2022,"75,80%"
CASTANHAL-PA,01/09/2022,"53,80%"
RIO VERDE-GO,01/09/2022,"69,60%"
IBIRITE-MG,01/09/2022,"77,50%"
ANGRA DOS REIS-RJ,01/09/2022,"37,30%"
LUZIANIA-GO,01/09/2022,"40,60%"
GUARAPUAVA-PR,01/09/2022,"53,90%"
FRANCISCO MORATO-SP,01/09/2022,"50,40%"
NOSSA SENHORA DO SOCORRO-SE,01/09/2022,"45,40%"
AGUAS LINDAS DE GOIAS-GO,01/09/2022,"50,20%"
CAMARAGIBE-PE,01/09/2022,"53,70%"
TERESOPOLIS-RJ,01/09/2022,"60,40%"
LAGES-SC,01/09/2022,"51,90%"
ITU-SP,01/09/2022,"62,90%"
PARAUAPEBAS-PA,01/09/2022,"53,90%"
POCOS DE CALDAS-MG,01/09/2022,"66,70%"
TIMON-MA,01/09/2022,"33,90%"
NILOPOLIS-RJ,01/09/2022,"83,90%"
JEQUIE-BA,01/09/2022,"22,40%"
CAXIAS-MA,01/09/2022,"51,10%"
SAO JOSE DE RIBAMAR-MA,01/09/2022,"62,10%"
PINDAMONHANGABA-SP,01/09/2022,"41,40%"
BRAGANCA PAULISTA-SP,01/09/2022,"64,60%"
PARNAIBA-PI,01/09/2022,"35,20%"
SAO CAETANO DO SUL-SP,01/09/2022,"99,20%"
QUEIMADOS-RJ,01/09/2022,"43,60%"
ITAPETININGA-SP,01/09/2022,"66,60%"
PARANAGUA-PR,01/09/2022,"67,80%"
JARAGUA DO SUL-SC,01/09/2022,"63,90%"
LINHARES-ES,01/09/2022,"48,50%"
PALHOCA-SC,01/09/2022,"87,30%"
TEIXEIRA DE FREITAS-BA,01/09/2022,"60,40%"
VALPARAISO DE GOIAS-GO,01/09/2022,"93,20%"
PATOS DE MINAS-MG,01/09/2022,"76,80%"
ALAGOINHAS-BA,01/09/2022,"65,50%"
MOGI GUACU-SP,01/09/2022,"79,00%"
ITAPECERICA DA SERRA-SP,01/09/2022,"44,70%"
ABAETETUBA-PA,01/09/2022,"8,90%"
ARAGUAINA-TO,01/09/2022,"27,10%"
TEOFILO OTONI-MG,01/09/2022,"44,90%"
SAPUCAIA DO SUL-RS,01/09/2022,"68,70%"
JAU-SP,01/09/2022,"48,00%"
BARREIRAS-BA,01/09/2022,"61,90%"
POUSO ALEGRE-MG,01/09/2022,"48,00%"
VITORIA DE SANTO ANTAO-PE,01/09/2022,"51,70%"
MARICA-RJ,01/09/2022,"79,80%"
BOTUCATU-SP,01/09/2022,"78,20%"
BARBACENA-MG,01/09/2022,"38,30%"
GARANHUNS-PE,01/09/2022,"62,20%"
ATIBAIA-SP,01/09/2022,"74,10%"
PORTO SEGURO-BA,01/09/2022,"46,40%"
VARGINHA-MG,01/09/2022,"76,30%"
URUGUAIANA-RS,01/09/2022,"40,40%"
APUCARANA-PR,01/09/2022,"72,80%"
CUBATAO-SP,01/09/2022,"19,40%"
SANTA RITA-PB,01/09/2022,"17,00%"
RESENDE-RJ,01/09/2022,"61,20%"
ARAUCARIA-PR,01/09/2022,"66,40%"
ARARAS-SP,01/09/2022,"56,70%"
CRATO-CE,01/09/2022,"33,30%"
PINHAIS-PR,01/09/2022,"93,90%"
CACHOEIRINHA-RS,01/09/2022,"74,70%"
SABARA-MG,01/09/2022,"47,40%"
SANTA CRUZ DO SUL-RS,01/09/2022,"46,20%"
CONSELHEIRO LAFAIETE-MG,01/09/2022,"78,50%"
SIMOES FILHO-BA,01/09/2022,"22,30%"
CAMETA-PA,01/09/2022,"4,10%"
BAGE-RS,01/09/2022,"33,90%"
TOLEDO-PR,01/09/2022,"55,80%"
FRANCO DA ROCHA-SP,01/09/2022,"64,80%"
CATANDUVA-SP,01/09/2022,"77,90%"
VARZEA PAULISTA-SP,01/09/2022,"75,10%"
SANTANA DE PARNAIBA-SP,01/09/2022,"77,90%"
GUARATINGUETA-SP,01/09/2022,"80,80%"
ITAPIPOCA-CE,01/09/2022,"15,50%"
BARRETOS-SP,01/09/2022,"81,70%"
MARITUBA-PA,01/09/2022,"24,50%"
SERTAOZINHO-SP,01/09/2022,"56,60%"
BAYEUX-PB,01/09/2022,"34,00%"
SINOP-MT,01/09/2022,"81,30%"
VOTORANTIM-SP,01/09/2022,"80,50%"
CODO-MA,01/09/2022,"14,30%"
ITAGUAI-RJ,01/09/2022,"33,20%"
JI PARANA-RO,01/09/2022,"49,40%"
MARANGUAPE-CE,01/09/2022,"15,20%"
ITABIRA-MG,01/09/2022,"45,10%"
BIRIGUI-SP,01/09/2022,"57,40%"
ARARUAMA-RJ,01/09/2022,"51,30%"
BRAGANCA-PA,01/09/2022,"17,00%"
CAMPO LARGO-PR,01/09/2022,"65,60%"
PACO DO LUMIAR-MA,01/09/2022,"28,90%"
ARAGUARI-MG,01/09/2022,"49,80%"
SALTO-SP,01/09/2022,"72,30%"
VESPASIANO-MG,01/09/2022,"58,50%"
SAO MATEUS-ES,01/09/2022,"35,00%"
PASSOS-MG,01/09/2022,"44,00%"
VALINHOS-SP,01/09/2022,"86,30%"
TATUI-SP,01/09/2022,"73,90%"
ALMIRANTE TAMANDARE-PR,01/09/2022,"50,60%"
RIO DAS OSTRAS-RJ,01/09/2022,"65,90%"
CORONEL FABRICIANO-MG,01/09/2022,"45,50%"
BRUSQUE-SC,01/09/2022,"36,50%"
COLATINA-ES,01/09/2022,"30,80%"
BENTO GONCALVES-RS,01/09/2022,"75,20%"
TRINDADE-GO,01/09/2022,"52,00%"
RIBEIRAO PIRES-SP,01/09/2022,"64,50%"
ARAPONGAS-PR,01/09/2022,"85,90%"
PAULO AFONSO-BA,01/09/2022,"40,60%"
POA-SP,01/09/2022,"95,70%"
GUARAPARI-ES,01/09/2022,"76,70%"
CARAGUATATUBA-SP,01/09/2022,"81,30%"
OURINHOS-SP,01/09/2022,"57,70%"
BALNEARIO CAMBORIU-SC,01/09/2022,"98,00%"
SANTANA-AP,01/09/2022,"11,30%"
ITATIBA-SP,01/09/2022,"59,30%"
BARCARENA-PA,01/09/2022,"7,90%"
UMUARAMA-PR,01/09/2022,"62,80%"
PATOS-PB,01/09/2022,"43,50%"
MURIAE-MG,01/09/2022,"55,00%"
IGARASSU-PE,01/09/2022,"36,50%"
UBA-MG,01/09/2022,"69,80%"
NOVO GAMA-GO,01/09/2022,"34,30%"
ACAILANDIA-MA,01/09/2022,"9,50%"
TRES LAGOAS-MS,01/09/2022,"50,90%"
EUNAPOLIS-BA,01/09/2022,"35,50%"
FORMOSA-GO,01/09/2022,"46,90%"
CORUMBA-MS,01/09/2022,"42,50%"
SAO LOURENCO DA MATA-PE,01/09/2022,"25,70%"
JAPERI-RJ,01/09/2022,"17,30%"
TUBARAO-SC,01/09/2022,"70,80%"
CAMBE-PR,01/09/2022,"63,10%"
ABREU E LIMA-PE,01/09/2022,"29,50%"
GUAIBA-RS,01/09/2022,"23,30%"
BACABAL-MA,01/09/2022,"29,50%"
ERECHIM-RS,01/09/2022,"36,80%"
PARINTINS-AM,01/09/2022,"3,80%"
ITUIUTABA-MG,01/09/2022,"49,20%"
JANDIRA-SP,01/09/2022,"72,90%"
ASSIS-SP,01/09/2022,"74,00%"
TUCURUI-PA,01/09/2022,"5,90%"
CAIEIRAS-SP,01/09/2022,"66,60%"
ARAXA-MG,01/09/2022,"49,70%"
LAVRAS-MG,01/09/2022,"44,10%"
BARRA DO PIRAI-RJ,01/09/2022,"13,20%"
IGUATU-CE,01/09/2022,"25,50%"
SANTA CRUZ DO CAPIBARIBE-PE,01/09/2022,"9,20%"
ITAPERUNA-RJ,01/09/2022,"74,00%"
ALTAMIRA-PA,01/09/2022,"43,00%"
LEME-SP,01/09/2022,"50,30%"
LAGARTO-SE,01/09/2022,"16,30%"
ITUMBIARA-GO,01/09/2022,"58,30%"
PARAGOMINAS-PA,01/09/2022,"34,80%"
SANTO ANTONIO DE JESUS-BA,01/09/2022,"55,50%"
ITAJUBA-MG,01/09/2022,"44,70%"
ITAITUBA-PA,01/09/2022,"3,70%"
PIRAQUARA-PR,01/09/2022,"64,40%"
ITANHAEM-SP,01/09/2022,"80,80%"
SAO GONCALO DO AMARANTE-RN,01/09/2022,"36,40%"
ITAPEVA-SP,01/09/2022,"45,60%"
CAMPO MOURAO-PR,01/09/2022,"68,60%"
SARANDI-PR,01/09/2022,"78,40%"
SAO PEDRO DA ALDEIA-RJ,01/09/2022,"69,20%"
SENADOR CANEDO-GO,01/09/2022,"61,80%"
ITABAIANA-SE,01/09/2022,"16,90%"
ITAUNA-MG,01/09/2022,"34,70%"
CATALAO-GO,01/09/2022,"61,20%"
ARIQUEMES-RO,01/09/2022,"39,80%"
VOTUPORANGA-SP,01/09/2022,"46,50%"
CACAPAVA-SP,01/09/2022,"40,70%"
JATAI-GO,01/09/2022,"61,40%"
VALENCA-BA,01/09/2022,"21,90%"
MOGI MIRIM-SP,01/09/2022,"65,50%"
SAO JOAO DA BOA VISTA-SP,01/09/2022,"60,30%"
PAULINIA-SP,01/09/2022,"79,40%"
SAO JOAO DEL REI-MG,01/09/2022,"58,20%"
ITACOATIARA-AM,01/09/2022,"1,00%"
LORENA-SP,01/09/2022,"58,70%"
ESTEIO-RS,01/09/2022,"74,60%"
TIMOTEO-MG,01/09/2022,"50,90%"
FAZENDA RIO GRANDE-PR,01/09/2022,"74,20%"
PARA DE MINAS-MG,01/09/2022,"54,50%"
MAIRIPORA-SP,01/09/2022,"33,50%"
CANDEIAS-BA,01/09/2022,"26,50%"
BREVES-PA,01/09/2022,"1,60%"
TANGARA DA SERRA-MT,01/09/2022,"34,40%"
PARANAVAI-PR,01/09/2022,"66,40%"
CARATINGA-MG,01/09/2022,"30,00%"
AVARE-SP,01/09/2022,"41,20%"
CACERES-MT,01/09/2022,"13,30%"
PARACATU-MG,01/09/2022,"41,00%"
SANTANA DO LIVRAMENTO-RS,01/09/2022,"16,00%"
NOVA LIMA-MG,01/09/2022,"42,70%"
CACHOEIRA DO SUL-RS,01/09/2022,"15,10%"
UBATUBA-SP,01/09/2022,"69,30%"
SAO ROQUE-SP,01/09/2022,"65,60%"
ARACRUZ-ES,01/09/2022,"22,20%"
SAO CRISTOVAO-SE,01/09/2022,"31,40%"
PATROCINIO-MG,01/09/2022,"33,80%"
IPOJUCA-PE,01/09/2022,"17,40%"
SEROPEDICA-RJ,01/09/2022,"19,40%"
PLANALTINA-GO,01/09/2022,"32,00%"
CRUZEIRO-SP,01/09/2022,"36,50%"
IJUI-RS,01/09/2022,"31,80%"
TRES RIOS-RJ,01/09/2022,"16,50%"
BARRA DO CORDA-MA,01/09/2022,"3,10%"
MANHUACU-MG,01/09/2022,"27,60%"
MATAO-SP,01/09/2022,"31,50%"
ARUJA-SP,01/09/2022,"62,00%"
SERRA TALHADA-PE,01/09/2022,"21,40%"
GURUPI-TO,01/09/2022,"15,60%"
ARARIPINA-PE,01/09/2022,"11,50%"
FRANCISCO BELTRAO-PR,01/09/2022,"22,30%"
QUIXADA-CE,01/09/2022,"52,40%"
GUANAMBI-BA,01/09/2022,"54,00%"
SAPIRANGA-RS,01/09/2022,"38,40%"
SANTO ANGELO-RS,01/09/2022,"31,00%"
JACOBINA-BA,01/09/2022,"29,00%"
PINHEIRO-MA,01/09/2022,"1,80%"
CARPINA-PE,01/09/2022,"38,70%"
CAMPO LIMPO PAULISTA-SP,01/09/2022,"55,10%"
JOAO MONLEVADE-MG,01/09/2022,"63,50%"
CACOAL-RO,01/09/2022,"31,20%"
BEBEDOURO-SP,01/09/2022,"46,60%"
VILHENA-RO,01/09/2022,"20,10%"
GRAVATA-PE,01/09/2022,"30,70%"
PACATUBA-CE,01/09/2022,"47,70%"
SERRINHA-BA,01/09/2022,"54,20%"
CANINDE-CE,01/09/2022,"16,20%"
LAJEADO-RS,01/09/2022,"57,80%"
SAO BENTO DO SUL-SC,01/09/2022,"14,40%"
ALFENAS-MG,01/09/2022,"36,10%"
GOIANA-PE,01/09/2022,"12,70%"
ALEGRETE-RS,01/09/2022,"17,20%"
NOVA SERRANA-MG,01/09/2022,"36,80%"
PONTA PORA-MS,01/09/2022,"34,10%"
PATO BRANCO-PR,01/09/2022,"43,40%"
VICOSA-MG,01/09/2022,"75,60%"
CRUZEIRO DO SUL-AC,01/09/2022,"8,60%"
SAO SEBASTIAO-SP,01/09/2022,"39,80%"
TRES CORACOES-MG,01/09/2022,"27,40%"
SAQUAREMA-RJ,01/09/2022,"44,60%"
PICOS-PI,01/09/2022,"21,00%"
LINS-SP,01/09/2022,"43,80%"
JABOTICABAL-SP,01/09/2022,"40,50%"
CURVELO-MG,01/09/2022,"36,60%"
REDENCAO-PA,01/09/2022,"10,50%"
TELEMACO BORBA-PR,01/09/2022,"33,00%"
UNAI-MG,01/09/2022,"59,00%"
CACADOR-SC,01/09/2022,"34,50%"
BELO JARDIM-PE,01/09/2022,"7,90%"
SAO FELIX DO XINGU-PA,01/09/2022,"2,20%"
CATAGUASES-MG,01/09/2022,"41,40%"
PIRASSUNUNGA-SP,01/09/2022,"47,60%"
CRATEUS-CE,01/09/2022,"35,50%"
CALDAS NOVAS-GO,01/09/2022,"86,50%"
AQUIRAZ-CE,01/09/2022,"26,30%"
RIO LARGO-AL,01/09/2022,"32,40%"
IBIUNA-SP,01/09/2022,"30,80%"
VALENCA-RJ,01/09/2022,"10,60%"
PALMEIRA DOS INDIOS-AL,01/09/2022,"9,90%"
ARCOVERDE-PE,01/09/2022,"30,30%"
QUIXERAMOBIM-CE,01/09/2022,"10,10%"
CIANORTE-PR,01/09/2022,"55,30%"
OURO PRETO-MG,01/09/2022,"49,10%"
VIANA-ES,01/09/2022,"39,30%"
CAJAMAR-SP,01/09/2022,"39,50%"
CHAPADINHA-MA,01/09/2022,"7,10%"
ARACATI-CE,01/09/2022,"18,70%"
TIANGUA-CE,01/09/2022,"32,10%"
RUSSAS-CE,01/09/2022,"23,80%"
CONCORDIA-SC,01/09/2022,"18,60%"
DIAS DAVILA-BA,01/09/2022,"21,50%"
CASTRO-PR,01/09/2022,"18,00%"
CAMBORIU-SC,01/09/2022,"93,10%"
SANTA ROSA-RS,01/09/2022,"28,50%"
ITAPIRA-SP,01/09/2022,"34,40%"
MOCOCA-SP,01/09/2022,"25,90%"
CEARA MIRIM-RN,01/09/2022,"4,80%"
MACAIBA-RN,01/09/2022,"6,70%"
VINHEDO-SP,01/09/2022,"84,30%"
FERNANDOPOLIS-SP,01/09/2022,"48,90%"
SAO SEBASTIAO DO PARAISO-MG,01/09/2022,"15,20%"
AMPARO-SP,01/09/2022,"41,10%"
FORMIGA-MG,01/09/2022,"31,40%"
CASCAVEL-CE,01/09/2022,"34,80%"
EMBU GUACU-SP,01/09/2022,"47,40%"
SOUSA-PB,01/09/2022,"35,00%"
NAVEGANTES-SC,01/09/2022,"60,50%"
VENANCIO AIRES-RS,01/09/2022,"3,90%"
FARROUPILHA-RS,01/09/2022,"36,40%"
TUPA-SP,01/09/2022,"16,50%"
SORRISO-MT,01/09/2022,"40,90%"
ESTANCIA-SE,01/09/2022,"19,80%"
ICO-CE,01/09/2022,"10,20%"
CAICO-RN,01/09/2022,"24,80%"
CRUZ ALTA-RS,01/09/2022,"15,50%"
CAMAQUA-RS,01/09/2022,"14,50%"
LENCOIS PAULISTA-SP,01/09/2022,"14,70%"
CAPANEMA-PA,01/09/2022,"20,60%"
SANTO ANTONIO DO DESCOBERTO-GO,01/09/2022,"18,90%"
OURICURI-PE,01/09/2022,"5,10%"
ESCADA-PE,01/09/2022,"6,50%"
ITAMARAJU-BA,01/09/2022,"10,00%"
BRUMADO-BA,01/09/2022,"7,30%"
PACAJUS-CE,01/09/2022,"21,50%"
PESQUEIRA-PE,01/09/2022,"4,10%"
VACARIA-RS,01/09/2022,"6,30%"
CONCEICAO DO COITE-BA,01/09/2022,"40,70%"
SAO BORJA-RS,01/09/2022,"13,00%"
RIO DO SUL-SC,01/09/2022,"26,70%"
CRUZ DAS ALMAS-BA,01/09/2022,"51,80%"
ARARANGUA-SC,01/09/2022,"54,20%"
JANUARIA-MG,01/09/2022,"15,60%"
CARAZINHO-RS,01/09/2022,"25,60%"
ITABERABA-BA,01/09/2022,"32,10%"
COSMOPOLIS-SP,01/09/2022,"41,30%"
PENAPOLIS-SP,01/09/2022,"27,60%"
GOIANESIA-GO,01/09/2022,"26,30%"
MORADA NOVA-CE,01/09/2022,"6,70%"
CAMPO BOM-RS,01/09/2022,"59,60%"
PENEDO-AL,01/09/2022,"11,80%"
CAMOCIM-CE,01/09/2022,"17,60%"
BOM JESUS DA LAPA-BA,01/09/2022,"8,50%"
PEDRO LEOPOLDO-MG,01/09/2022,"32,50%"
ROLANDIA-PR,01/09/2022,"36,60%"
BIGUACU-SC,01/09/2022,"56,90%"
UNIAO DOS PALMARES-AL,01/09/2022,"3,70%"
BEZERROS-PE,01/09/2022,"8,40%"
LUIS EDUARDO MAGALHAES-BA,01/09/2022,"37,80%"
PERUIBE-SP,01/09/2022,"76,70%"
MONTENEGRO-RS,01/09/2022,"47,70%"
PALMARES-PE,01/09/2022,"9,30%"
SURUBIM-PE,01/09/2022,"7,20%"
CIDADE OCIDENTAL-GO,01/09/2022,"40,40%"
GASPAR-SC,01/09/2022,"17,40%"
ICARA-SC,01/09/2022,"31,00%"
BATATAIS-SP,01/09/2022,"11,90%"
GRAJAU-MA,01/09/2022,"2,50%"
PONTE NOVA-MG,01/09/2022,"32,10%"
SANTO AMARO-BA,01/09/2022,"11,90%"
HORIZONTE-CE,01/09/2022,"25,10%"
ACARAU-CE,01/09/2022,"2,40%"
MORENO-PE,01/09/2022,"8,80%"
UNIAO DA VITORIA-PR,01/09/2022,"31,20%"
SANTA IZABEL DO PARA-PA,01/09/2022,"4,50%"
LIMOEIRO DO NORTE-CE,01/09/2022,"17,90%"
ANDRADINA-SP,01/09/2022,"35,60%"
BARRA DO GARCAS-MT,01/09/2022,"47,80%"
GUARABIRA-PB,01/09/2022,"15,50%"
MIRASSOL-SP,01/09/2022,"36,80%"
INDAIAL-SC,01/09/2022,"53,50%"
SALGUEIRO-PE,01/09/2022,"17,20%"
TRES PONTAS-MG,01/09/2022,"5,50%"
SAO MIGUEL DOS CAMPOS-AL,01/09/2022,"4,70%"
IRATI-PR,01/09/2022,"16,80%"
RIO BONITO-RJ,01/09/2022,"28,50%"
BARBALHA-CE,01/09/2022,"21,40%"
IBITINGA-SP,01/09/2022,"25,20%"
LAGOA SANTA-MG,01/09/2022,"71,50%"
TAQUARA-RS,01/09/2022,"27,90%"
PIRAPORA-MG,01/09/2022,"23,10%"
TAUA-CE,01/09/2022,"8,80%"
LIMOEIRO-PE,01/09/2022,"14,50%"
CABEDELO-PB,01/09/2022,"44,30%"
REGISTRO-SP,01/09/2022,"22,70%"
TIMBAUBA-PE,01/09/2022,"2,70%"
TAQUARITINGA-SP,01/09/2022,"10,40%"
CACHOEIRAS DE MACACU-RJ,01/09/2022,"2,90%"
CANOINHAS-SC,01/09/2022,"18,70%"
MARIANA-MG,01/09/2022,"39,00%"
PORTO FERREIRA-SP,01/09/2022,"25,00%"
FRUTAL-MG,01/09/2022,"14,60%"
GUAPIMIRIM-RJ,01/09/2022,"35,80%"
SAO BENTO DO UNA-PE,01/09/2022,"2,00%"
CAMPO BELO-MG,01/09/2022,"36,30%"
SAO PAULO-SP,01/10/2022,"78,70%"
RIO DE JANEIRO-RJ,01/10/2022,"73,50%"
SALVADOR-BA,01/10/2022,"50,20%"
BRASILIA-DF,01/10/2022,"56,10%"
FORTALEZA-CE,01/10/2022,"64,10%"
BELO HORIZONTE-MG,01/10/2022,"85,60%"
MANAUS-AM,01/10/2022,"49,80%"
CURITIBA-PR,01/10/2022,"83,20%"
RECIFE-PE,01/10/2022,"76,90%"
BELEM-PA,01/10/2022,"48,60%"
PORTO ALEGRE-RS,01/10/2022,"80,80%"
GOIANIA-GO,01/10/2022,"75,20%"
GUARULHOS-SP,01/10/2022,"69,70%"
CAMPINAS-SP,01/10/2022,"79,10%"
SAO LUIS-MA,01/10/2022,"39,40%"
SAO GONCALO-RJ,01/10/2022,"57,90%"
MACEIO-AL,01/10/2022,"59,60%"
DUQUE DE CAXIAS-RJ,01/10/2022,"49,40%"
NATAL-RN,01/10/2022,"52,40%"
TERESINA-PI,01/10/2022,"43,90%"
NOVA IGUACU-RJ,01/10/2022,"58,10%"
CAMPO GRANDE-MS,01/10/2022,"75,70%"
JOAO PESSOA-PB,01/10/2022,"68,20%"
SAO BERNARDO DO CAMPO-SP,01/10/2022,"70,20%"
OSASCO-SP,01/10/2022,"78,30%"
SANTO ANDRE-SP,01/10/2022,"89,40%"
