Cidade,Uf,mes/ano,churn
NOVA IGUACU,RJ,01/09/2022,"12,48%"
CAMPO GRANDE,MS,01/09/2022,"8,56%"
JOAO PESSOA,PB,01/09/2022,"7,29%"
SAO BERNARDO DO CAMPO,SP,01/09/2022,"6,92%"
OSASCO,SP,01/09/2022,"8,11%"
SANTO ANDRE,SP,01/09/2022,"7,00%"
JABOATAO DOS GUARARAPES,PE,01/09/2022,"10,54%"
SAO JOSE DOS CAMPOS,SP,01/09/2022,"6,77%"
CONTAGEM,MG,01/09/2022,"7,23%"
RIBEIRAO PRETO,SP,01/09/2022,"7,55%"
UBERLANDIA,MG,01/09/2022,"7,37%"
SOROCABA,SP,01/09/2022,"7,59%"
ARACAJU,SE,01/09/2022,"8,65%"
CUIABA,MT,01/09/2022,"9,88%"
FEIRA DE SANTANA,BA,01/09/2022,"8,74%"
JUIZ DE FORA,MG,01/09/2022,"7,49%"
JOINVILLE,SC,01/09/2022,"8,23%"
LONDRINA,PR,01/09/2022,"6,31%"
BELFORD ROXO,RJ,01/09/2022,"16,21%"
ANANINDEUA,PA,01/09/2022,"11,73%"
SAO JOAO DE MERITI,RJ,01/09/2022,"14,32%"
APARECIDA DE GOIANIA,GO,01/09/2022,"12,30%"
NITEROI,RJ,01/09/2022,"6,45%"
CAMPOS DOS GOYTACAZES,RJ,01/09/2022,"9,98%"
CAXIAS DO SUL,RS,01/09/2022,"6,22%"
MAUA,SP,01/09/2022,"7,95%"
FLORIANOPOLIS,SC,01/09/2022,"6,42%"
VILA VELHA,ES,01/09/2022,"8,39%"
SANTOS,SP,01/09/2022,"6,04%"
SAO JOSE DO RIO PRETO,SP,01/09/2022,"6,84%"
PORTO VELHO,RO,01/09/2022,"8,06%"
SERRA,ES,01/09/2022,"11,32%"
DIADEMA,SP,01/09/2022,"8,96%"
OLINDA,PE,01/09/2022,"11,93%"
MACAPA,AP,01/09/2022,"10,56%"
BETIM,MG,01/09/2022,"7,71%"
CAMPINA GRANDE,PB,01/09/2022,"7,49%"
MOGI DAS CRUZES,SP,01/09/2022,"6,86%"
CARAPICUIBA,SP,01/09/2022,"11,01%"
PIRACICABA,SP,01/09/2022,"6,34%"
MONTES CLAROS,MG,01/09/2022,"7,44%"
JUNDIAI,SP,01/09/2022,"5,28%"
MARINGA,PR,01/09/2022,"6,44%"
CARIACICA,ES,01/09/2022,"10,74%"
BAURU,SP,01/09/2022,"8,05%"
ANAPOLIS,GO,01/09/2022,"9,76%"
RIO BRANCO,AC,01/09/2022,"7,63%"
CANOAS,RS,01/09/2022,"8,62%"
SAO VICENTE,SP,01/09/2022,"10,95%"
VITORIA,ES,01/09/2022,"5,74%"
PELOTAS,RS,01/09/2022,"6,89%"
FRANCA,SP,01/09/2022,"6,84%"
ITAQUAQUECETUBA,SP,01/09/2022,"10,99%"
BLUMENAU,SC,01/09/2022,"7,01%"
PONTA GROSSA,PR,01/09/2022,"8,22%"
CARUARU,PE,01/09/2022,"8,53%"
CAUCAIA,CE,01/09/2022,"7,93%"
RIBEIRAO DAS NEVES,MG,01/09/2022,"9,59%"
VITORIA DA CONQUISTA,BA,01/09/2022,"9,67%"
PAULISTA,PE,01/09/2022,"8,61%"
PETROPOLIS,RJ,01/09/2022,"5,96%"
GUARUJA,SP,01/09/2022,"6,70%"
UBERABA,MG,01/09/2022,"7,77%"
PETROLINA,PE,01/09/2022,"7,24%"
BOA VISTA,RR,01/09/2022,"11,73%"
TAUBATE,SP,01/09/2022,"7,27%"
CASCAVEL,PR,01/09/2022,"5,41%"
SANTAREM,PA,01/09/2022,"7,82%"
LIMEIRA,SP,01/09/2022,"5,42%"
SUZANO,SP,01/09/2022,"9,53%"
SAO JOSE DOS PINHAIS,PR,01/09/2022,"7,59%"
PRAIA GRANDE,SP,01/09/2022,"9,07%"
GOVERNADOR VALADARES,MG,01/09/2022,"6,74%"
VOLTA REDONDA,RJ,01/09/2022,"8,61%"
GRAVATAI,RS,01/09/2022,"9,46%"
MOSSORO,RN,01/09/2022,"7,35%"
SANTA MARIA,RS,01/09/2022,"5,69%"
FOZ DO IGUACU,PR,01/09/2022,"4,96%"
VARZEA GRANDE,MT,01/09/2022,"12,22%"
NOVO HAMBURGO,RS,01/09/2022,"5,25%"
IMPERATRIZ,MA,01/09/2022,"6,14%"
JUAZEIRO DO NORTE,CE,01/09/2022,"9,62%"
SUMARE,SP,01/09/2022,"7,50%"
BARUERI,SP,01/09/2022,"6,19%"
IPATINGA,MG,01/09/2022,"7,91%"
CAMACARI,BA,01/09/2022,"9,85%"
VIAMAO,RS,01/09/2022,"11,73%"
EMBU DAS ARTES,SP,01/09/2022,"14,36%"
ITABORAI,RJ,01/09/2022,"11,59%"
TABOAO DA SERRA,SP,01/09/2022,"8,02%"
MAGE,RJ,01/09/2022,"9,22%"
MARABA,PA,01/09/2022,"9,36%"
PALMAS,TO,01/09/2022,"8,44%"
SAO CARLOS,SP,01/09/2022,"6,31%"
COLOMBO,PR,01/09/2022,"7,67%"
ARAPIRACA,AL,01/09/2022,"11,05%"
MARILIA,SP,01/09/2022,"5,80%"
SETE LAGOAS,MG,01/09/2022,"9,65%"
SAO LEOPOLDO,RS,01/09/2022,"6,94%"
DIVINOPOLIS,MG,01/09/2022,"6,69%"
MARACANAU,CE,01/09/2022,"10,58%"
AMERICANA,SP,01/09/2022,"5,59%"
JACAREI,SP,01/09/2022,"9,73%"
ITAPEVI,SP,01/09/2022,"10,45%"
PARNAMIRIM,RN,01/09/2022,"8,35%"
PRESIDENTE PRUDENTE,SP,01/09/2022,"6,01%"
ARARAQUARA,SP,01/09/2022,"7,51%"
MACAE,RJ,01/09/2022,"7,38%"
ITABUNA,BA,01/09/2022,"8,65%"
SAO JOSE,SC,01/09/2022,"7,21%"
SANTA LUZIA,MG,01/09/2022,"12,97%"
INDAIATUBA,SP,01/09/2022,"5,15%"
ALVORADA,RS,01/09/2022,"7,32%"
COTIA,SP,01/09/2022,"10,13%"
JUAZEIRO,BA,01/09/2022,"7,96%"
HORTOLANDIA,SP,01/09/2022,"7,96%"
RIO GRANDE,RS,01/09/2022,"10,85%"
DOURADOS,MS,01/09/2022,"9,31%"
CRICIUMA,SC,01/09/2022,"5,30%"
RONDONOPOLIS,MT,01/09/2022,"9,16%"
CACHOEIRO DE ITAPEMIRIM,ES,01/09/2022,"6,21%"
CABO FRIO,RJ,01/09/2022,"9,35%"
RIO CLARO,SP,01/09/2022,"6,81%"
SOBRAL,CE,01/09/2022,"10,57%"
SANTA BARBARA DOESTE,SP,01/09/2022,"7,82%"
PASSO FUNDO,RS,01/09/2022,"5,88%"
ARACATUBA,SP,01/09/2022,"5,99%"
CHAPECO,SC,01/09/2022,"5,25%"
ITAJAI,SC,01/09/2022,"7,82%"
ILHEUS,BA,01/09/2022,"7,96%"
CABO DE SANTO AGOSTINHO,PE,01/09/2022,"8,21%"
MESQUITA,RJ,01/09/2022,"11,42%"
FERRAZ DE VASCONCELOS,SP,01/09/2022,"14,92%"
NOVA FRIBURGO,RJ,01/09/2022,"6,82%"
BARRA MANSA,RJ,01/09/2022,"9,94%"
LAURO DE FREITAS,BA,01/09/2022,"7,14%"
CASTANHAL,PA,01/09/2022,"12,50%"
RIO VERDE,GO,01/09/2022,"7,69%"
IBIRITE,MG,01/09/2022,"9,54%"
ANGRA DOS REIS,RJ,01/09/2022,"6,96%"
LUZIANIA,GO,01/09/2022,"12,00%"
GUARAPUAVA,PR,01/09/2022,"4,74%"
FRANCISCO MORATO,SP,01/09/2022,"10,75%"
NOSSA SENHORA DO SOCORRO,SE,01/09/2022,"11,56%"
AGUAS LINDAS DE GOIAS,GO,01/09/2022,"9,69%"
CAMARAGIBE,PE,01/09/2022,"10,55%"
TERESOPOLIS,RJ,01/09/2022,"9,61%"
LAGES,SC,01/09/2022,"3,63%"
ITU,SP,01/09/2022,"6,44%"
PARAUAPEBAS,PA,01/09/2022,"7,46%"
POCOS DE CALDAS,MG,01/09/2022,"6,00%"
TIMON,MA,01/09/2022,"14,71%"
NILOPOLIS,RJ,01/09/2022,"12,59%"
JEQUIE,BA,01/09/2022,"8,98%"
CAXIAS,MA,01/09/2022,"9,62%"
SAO JOSE DE RIBAMAR,MA,01/09/2022,"9,89%"
PINDAMONHANGABA,SP,01/09/2022,"4,70%"
BRAGANCA PAULISTA,SP,01/09/2022,"4,88%"
PARNAIBA,PI,01/09/2022,"8,23%"
SAO CAETANO DO SUL,SP,01/09/2022,"6,67%"
QUEIMADOS,RJ,01/09/2022,"7,11%"
ITAPETININGA,SP,01/09/2022,"9,60%"
PARANAGUA,PR,01/09/2022,"5,24%"
JARAGUA DO SUL,SC,01/09/2022,"5,76%"
LINHARES,ES,01/09/2022,"7,73%"
PALHOCA,SC,01/09/2022,"7,33%"
TEIXEIRA DE FREITAS,BA,01/09/2022,"8,16%"
VALPARAISO DE GOIAS,GO,01/09/2022,"11,51%"
PATOS DE MINAS,MG,01/09/2022,"8,54%"
ALAGOINHAS,BA,01/09/2022,"7,76%"
MOGI GUACU,SP,01/09/2022,"7,92%"
ITAPECERICA DA SERRA,SP,01/09/2022,"8,64%"
ABAETETUBA,PA,01/09/2022,"2,94%"
ARAGUAINA,TO,01/09/2022,"5,88%"
TEOFILO OTONI,MG,01/09/2022,"5,31%"
SAPUCAIA DO SUL,RS,01/09/2022,"11,57%"
JAU,SP,01/09/2022,"7,06%"
BARREIRAS,BA,01/09/2022,"5,15%"
POUSO ALEGRE,MG,01/09/2022,"6,99%"
VITORIA DE SANTO ANTAO,PE,01/09/2022,"10,91%"
MARICA,RJ,01/09/2022,"8,46%"
BOTUCATU,SP,01/09/2022,"6,28%"
BARBACENA,MG,01/09/2022,"3,39%"
GARANHUNS,PE,01/09/2022,"6,61%"
ATIBAIA,SP,01/09/2022,"6,70%"
PORTO SEGURO,BA,01/09/2022,"4,89%"
VARGINHA,MG,01/09/2022,"7,23%"
URUGUAIANA,RS,01/09/2022,"7,33%"
APUCARANA,PR,01/09/2022,"6,83%"
CUBATAO,SP,01/09/2022,"11,94%"
SANTA RITA,PB,01/09/2022,"17,53%"
RESENDE,RJ,01/09/2022,"6,29%"
ARAUCARIA,PR,01/09/2022,"9,74%"
ARARAS,SP,01/09/2022,"4,59%"
CRATO,CE,01/09/2022,"5,76%"
PINHAIS,PR,01/09/2022,"8,31%"
CACHOEIRINHA,RS,01/09/2022,"9,80%"
SABARA,MG,01/09/2022,"6,78%"
SANTA CRUZ DO SUL,RS,01/09/2022,"5,92%"
CONSELHEIRO LAFAIETE,MG,01/09/2022,"5,31%"
SIMOES FILHO,BA,01/09/2022,"13,46%"
CAMETA,PA,01/09/2022,"17,24%"
BAGE,RS,01/09/2022,"9,79%"
TOLEDO,PR,01/09/2022,"5,60%"
FRANCO DA ROCHA,SP,01/09/2022,"10,03%"
CATANDUVA,SP,01/09/2022,"7,04%"
VARZEA PAULISTA,SP,01/09/2022,"7,08%"
SANTANA DE PARNAIBA,SP,01/09/2022,"6,87%"
GUARATINGUETA,SP,01/09/2022,"7,75%"
ITAPIPOCA,CE,01/09/2022,"3,08%"
BARRETOS,SP,01/09/2022,"6,06%"
MARITUBA,PA,01/09/2022,"10,17%"
SERTAOZINHO,SP,01/09/2022,"4,88%"
BAYEUX,PB,01/09/2022,"5,63%"
SINOP,MT,01/09/2022,"5,37%"
VOTORANTIM,SP,01/09/2022,"7,87%"
CODO,MA,01/09/2022,"0,00%"
ITAGUAI,RJ,01/09/2022,"9,04%"
JI PARANA,RO,01/09/2022,"10,06%"
MARANGUAPE,CE,01/09/2022,"11,11%"
ITABIRA,MG,01/09/2022,"9,32%"
BIRIGUI,SP,01/09/2022,"5,74%"
ARARUAMA,RJ,01/09/2022,"13,33%"
BRAGANCA,PA,01/09/2022,"11,11%"
CAMPO LARGO,PR,01/09/2022,"5,32%"
PACO DO LUMIAR,MA,01/09/2022,"5,00%"
ARAGUARI,MG,01/09/2022,"9,45%"
SALTO,SP,01/09/2022,"5,99%"
VESPASIANO,MG,01/09/2022,"7,48%"
SAO MATEUS,ES,01/09/2022,"8,28%"
PASSOS,MG,01/09/2022,"5,35%"
VALINHOS,SP,01/09/2022,"4,23%"
TATUI,SP,01/09/2022,"8,20%"
ALMIRANTE TAMANDARE,PR,01/09/2022,"12,30%"
RIO DAS OSTRAS,RJ,01/09/2022,"11,82%"
CORONEL FABRICIANO,MG,01/09/2022,"8,81%"
BRUSQUE,SC,01/09/2022,"10,22%"
COLATINA,ES,01/09/2022,"3,42%"
BENTO GONCALVES,RS,01/09/2022,"3,90%"
TRINDADE,GO,01/09/2022,"11,50%"
RIBEIRAO PIRES,SP,01/09/2022,"7,80%"
ARAPONGAS,PR,01/09/2022,"4,32%"
PAULO AFONSO,BA,01/09/2022,"8,20%"
POA,SP,01/09/2022,"6,97%"
GUARAPARI,ES,01/09/2022,"11,34%"
CARAGUATATUBA,SP,01/09/2022,"8,46%"
OURINHOS,SP,01/09/2022,"6,06%"
BALNEARIO CAMBORIU,SC,01/09/2022,"6,35%"
SANTANA,AP,01/09/2022,"14,00%"
ITATIBA,SP,01/09/2022,"6,09%"
BARCARENA,PA,01/09/2022,"12,50%"
UMUARAMA,PR,01/09/2022,"3,21%"
PATOS,PB,01/09/2022,"8,89%"
MURIAE,MG,01/09/2022,"7,39%"
IGARASSU,PE,01/09/2022,"10,10%"
UBA,MG,01/09/2022,"6,57%"
NOVO GAMA,GO,01/09/2022,"20,41%"
ACAILANDIA,MA,01/09/2022,"22,03%"
TRES LAGOAS,MS,01/09/2022,"11,87%"
EUNAPOLIS,BA,01/09/2022,"9,68%"
FORMOSA,GO,01/09/2022,"7,05%"
CORUMBA,MS,01/09/2022,"9,71%"
SAO LOURENCO DA MATA,PE,01/09/2022,"5,43%"
JAPERI,RJ,01/09/2022,"5,41%"
TUBARAO,SC,01/09/2022,"6,55%"
CAMBE,PR,01/09/2022,"6,48%"
ABREU E LIMA,PE,01/09/2022,"15,63%"
GUAIBA,RS,01/09/2022,"7,38%"
BACABAL,MA,01/09/2022,"10,64%"
ERECHIM,RS,01/09/2022,"6,82%"
PARINTINS,AM,01/09/2022,"10,00%"
ITUIUTABA,MG,01/09/2022,"6,56%"
JANDIRA,SP,01/09/2022,"11,32%"
ASSIS,SP,01/09/2022,"8,50%"
TUCURUI,PA,01/09/2022,"10,34%"
CAIEIRAS,SP,01/09/2022,"6,46%"
ARAXA,MG,01/09/2022,"6,01%"
LAVRAS,MG,01/09/2022,"9,77%"
BARRA DO PIRAI,RJ,01/09/2022,"8,77%"
IGUATU,CE,01/09/2022,"8,70%"
SANTA CRUZ DO CAPIBARIBE,PE,01/09/2022,"6,33%"
ITAPERUNA,RJ,01/09/2022,"4,89%"
ALTAMIRA,PA,01/09/2022,"7,76%"
LEME,SP,01/09/2022,"5,26%"
LAGARTO,SE,01/09/2022,"12,96%"
ITUMBIARA,GO,01/09/2022,"8,25%"
PARAGOMINAS,PA,01/09/2022,"7,56%"
SANTO ANTONIO DE JESUS,BA,01/09/2022,"5,79%"
ITAJUBA,MG,01/09/2022,"4,41%"
ITAITUBA,PA,01/09/2022,"10,00%"
PIRAQUARA,PR,01/09/2022,"12,96%"
ITANHAEM,SP,01/09/2022,"9,55%"
SAO GONCALO DO AMARANTE,RN,01/09/2022,"3,30%"
ITAPEVA,SP,01/09/2022,"11,89%"
CAMPO MOURAO,PR,01/09/2022,"5,66%"
SARANDI,PR,01/09/2022,"11,11%"
SAO PEDRO DA ALDEIA,RJ,01/09/2022,"7,66%"
SENADOR CANEDO,GO,01/09/2022,"10,57%"
ITABAIANA,SE,01/09/2022,"14,63%"
ITAUNA,MG,01/09/2022,"5,69%"
CATALAO,GO,01/09/2022,"5,61%"
ARIQUEMES,RO,01/09/2022,"19,55%"
VOTUPORANGA,SP,01/09/2022,"5,56%"
CACAPAVA,SP,01/09/2022,"8,99%"
JATAI,GO,01/09/2022,"4,86%"
VALENCA,BA,01/09/2022,"13,43%"
MOGI MIRIM,SP,01/09/2022,"5,38%"
SAO JOAO DA BOA VISTA,SP,01/09/2022,"4,05%"
PAULINIA,SP,01/09/2022,"6,48%"
SAO JOAO DEL REI,MG,01/09/2022,"6,34%"
ITACOATIARA,AM,01/09/2022,"42,86%"
LORENA,SP,01/09/2022,"9,76%"
ESTEIO,RS,01/09/2022,"10,99%"
TIMOTEO,MG,01/09/2022,"6,92%"
FAZENDA RIO GRANDE,PR,01/09/2022,"11,54%"
PARA DE MINAS,MG,01/09/2022,"9,38%"
MAIRIPORA,SP,01/09/2022,"6,55%"
CANDEIAS,BA,01/09/2022,"15,00%"
BREVES,PA,01/09/2022,"11,11%"
TANGARA DA SERRA,MT,01/09/2022,"5,98%"
PARANAVAI,PR,01/09/2022,"8,13%"
CARATINGA,MG,01/09/2022,"3,25%"
AVARE,SP,01/09/2022,"4,97%"
CACERES,MT,01/09/2022,"21,43%"
PARACATU,MG,01/09/2022,"12,28%"
SANTANA DO LIVRAMENTO,RS,01/09/2022,"7,14%"
NOVA LIMA,MG,01/09/2022,"8,75%"
CACHOEIRA DO SUL,RS,01/09/2022,"4,88%"
UBATUBA,SP,01/09/2022,"9,31%"
SAO ROQUE,SP,01/09/2022,"8,78%"
ARACRUZ,ES,01/09/2022,"15,12%"
SAO CRISTOVAO,SE,01/09/2022,"13,41%"
PATROCINIO,MG,01/09/2022,"4,20%"
IPOJUCA,PE,01/09/2022,"6,25%"
SEROPEDICA,RJ,01/09/2022,"11,22%"
PLANALTINA,GO,01/09/2022,"6,32%"
CRUZEIRO,SP,01/09/2022,"7,86%"
IJUI,RS,01/09/2022,"10,71%"
TRES RIOS,RJ,01/09/2022,"18,29%"
BARRA DO CORDA,MA,01/09/2022,"28,57%"
MANHUACU,MG,01/09/2022,"8,00%"
MATAO,SP,01/09/2022,"7,25%"
ARUJA,SP,01/09/2022,"8,56%"
SERRA TALHADA,PE,01/09/2022,"14,94%"
GURUPI,TO,01/09/2022,"4,55%"
ARARIPINA,PE,01/09/2022,"10,29%"
FRANCISCO BELTRAO,PR,01/09/2022,"12,22%"
QUIXADA,CE,01/09/2022,"7,89%"
GUANAMBI,BA,01/09/2022,"7,69%"
SAPIRANGA,RS,01/09/2022,"6,77%"
SANTO ANGELO,RS,01/09/2022,"9,57%"
JACOBINA,BA,01/09/2022,"5,45%"
PINHEIRO,MA,01/09/2022,"20,00%"
CARPINA,PE,01/09/2022,"4,49%"
CAMPO LIMPO PAULISTA,SP,01/09/2022,"9,41%"
JOAO MONLEVADE,MG,01/09/2022,"6,55%"
CACOAL,RO,01/09/2022,"5,88%"
BEBEDOURO,SP,01/09/2022,"3,27%"
VILHENA,RO,01/09/2022,"5,77%"
GRAVATA,PE,01/09/2022,"8,76%"
PACATUBA,CE,01/09/2022,"13,04%"
SERRINHA,BA,01/09/2022,"4,21%"
CANINDE,CE,01/09/2022,"20,00%"
LAJEADO,RS,01/09/2022,"7,41%"
SAO BENTO DO SUL,SC,01/09/2022,"2,38%"
ALFENAS,MG,01/09/2022,"8,33%"
GOIANA,PE,01/09/2022,"21,95%"
ALEGRETE,RS,01/09/2022,"16,33%"
NOVA SERRANA,MG,01/09/2022,"6,72%"
PONTA PORA,MS,01/09/2022,"3,87%"
PATO BRANCO,PR,01/09/2022,"4,04%"
VICOSA,MG,01/09/2022,"4,43%"
CRUZEIRO DO SUL,AC,01/09/2022,"5,71%"
SAO SEBASTIAO,SP,01/09/2022,"8,82%"
TRES CORACOES,MG,01/09/2022,"8,99%"
SAQUAREMA,RJ,01/09/2022,"10,19%"
PICOS,PI,01/09/2022,"2,74%"
LINS,SP,01/09/2022,"8,24%"
JABOTICABAL,SP,01/09/2022,"7,41%"
CURVELO,MG,01/09/2022,"11,81%"
REDENCAO,PA,01/09/2022,"11,36%"
TELEMACO BORBA,PR,01/09/2022,"4,35%"
UNAI,MG,01/09/2022,"1,59%"
CACADOR,SC,01/09/2022,"7,94%"
BELO JARDIM,PE,01/09/2022,"7,69%"
SAO FELIX DO XINGU,PA,01/09/2022,"8,33%"
CATAGUASES,MG,01/09/2022,"10,78%"
PIRASSUNUNGA,SP,01/09/2022,"5,06%"
CRATEUS,CE,01/09/2022,"6,67%"
CALDAS NOVAS,GO,01/09/2022,"8,05%"
AQUIRAZ,CE,01/09/2022,"14,47%"
RIO LARGO,AL,01/09/2022,"8,25%"
IBIUNA,SP,01/09/2022,"12,05%"
VALENCA,RJ,01/09/2022,"16,33%"
PALMEIRA DOS INDIOS,AL,01/09/2022,"8,11%"
ARCOVERDE,PE,01/09/2022,"5,80%"
QUIXERAMOBIM,CE,01/09/2022,"22,73%"
CIANORTE,PR,01/09/2022,"5,69%"
OURO PRETO,MG,01/09/2022,"5,84%"
VIANA,ES,01/09/2022,"16,85%"
CAJAMAR,SP,01/09/2022,"7,69%"
CHAPADINHA,MA,01/09/2022,"8,33%"
ARACATI,CE,01/09/2022,"6,78%"
TIANGUA,CE,01/09/2022,"4,35%"
RUSSAS,CE,01/09/2022,"14,15%"
CONCORDIA,SC,01/09/2022,"3,85%"
DIAS DAVILA,BA,01/09/2022,"12,99%"
CASTRO,PR,01/09/2022,"10,61%"
CAMBORIU,SC,01/09/2022,"7,14%"
SANTA ROSA,RS,01/09/2022,"5,49%"
ITAPIRA,SP,01/09/2022,"6,25%"
MOCOCA,SP,01/09/2022,"7,53%"
CEARA MIRIM,RN,01/09/2022,"5,88%"
MACAIBA,RN,01/09/2022,"7,69%"
VINHEDO,SP,01/09/2022,"5,48%"
FERNANDOPOLIS,SP,01/09/2022,"4,67%"
SAO SEBASTIAO DO PARAISO,MG,01/09/2022,"10,17%"
AMPARO,SP,01/09/2022,"6,31%"
FORMIGA,MG,01/09/2022,"4,65%"
CASCAVEL,CE,01/09/2022,"6,25%"
EMBU GUACU,SP,01/09/2022,"9,52%"
SOUSA,PB,01/09/2022,"9,57%"
NAVEGANTES,SC,01/09/2022,"9,17%"
VENANCIO AIRES,RS,01/09/2022,"10,00%"
FARROUPILHA,RS,01/09/2022,"6,25%"
TUPA,SP,01/09/2022,"7,14%"
SORRISO,MT,01/09/2022,"11,65%"
ESTANCIA,SE,01/09/2022,"7,95%"
ICO,CE,01/09/2022,"6,00%"
CAICO,RN,01/09/2022,"9,84%"
CRUZ ALTA,RS,01/09/2022,"2,17%"
CAMAQUA,RS,01/09/2022,"6,52%"
LENCOIS PAULISTA,SP,01/09/2022,"3,17%"
CAPANEMA,PA,01/09/2022,"12,20%"
SANTO ANTONIO DO DESCOBERTO,GO,01/09/2022,"6,58%"
OURICURI,PE,01/09/2022,"5,88%"
ESCADA,PE,01/09/2022,"16,67%"
ITAMARAJU,BA,01/09/2022,"9,38%"
BRUMADO,BA,01/09/2022,"6,90%"
PACAJUS,CE,01/09/2022,"6,82%"
PESQUEIRA,PE,01/09/2022,"4,76%"
VACARIA,RS,01/09/2022,"8,33%"
CONCEICAO DO COITE,BA,01/09/2022,"4,71%"
SAO BORJA,RS,01/09/2022,"12,12%"
RIO DO SUL,SC,01/09/2022,"13,43%"
CRUZ DAS ALMAS,BA,01/09/2022,"5,38%"
ARARANGUA,SC,01/09/2022,"9,90%"
JANUARIA,MG,01/09/2022,"8,20%"
CARAZINHO,RS,01/09/2022,"4,62%"
ITABERABA,BA,01/09/2022,"12,50%"
COSMOPOLIS,SP,01/09/2022,"8,00%"
PENAPOLIS,SP,01/09/2022,"7,41%"
GOIANESIA,GO,01/09/2022,"12,50%"
MORADA NOVA,CE,01/09/2022,"10,71%"
CAMPO BOM,RS,01/09/2022,"5,15%"
PENEDO,AL,01/09/2022,"5,26%"
CAMOCIM,CE,01/09/2022,"11,11%"
BOM JESUS DA LAPA,BA,01/09/2022,"25,00%"
PEDRO LEOPOLDO,MG,01/09/2022,"1,74%"
ROLANDIA,PR,01/09/2022,"4,10%"
BIGUACU,SC,01/09/2022,"10,42%"
UNIAO DOS PALMARES,AL,01/09/2022,"18,18%"
BEZERROS,PE,01/09/2022,"14,29%"
LUIS EDUARDO MAGALHAES,BA,01/09/2022,"6,43%"
PERUIBE,SP,01/09/2022,"6,99%"
MONTENEGRO,RS,01/09/2022,"8,57%"
PALMARES,PE,01/09/2022,"10,42%"
SURUBIM,PE,01/09/2022,"24,14%"
CIDADE OCIDENTAL,GO,01/09/2022,"7,59%"
GASPAR,SC,01/09/2022,"8,57%"
ICARA,SC,01/09/2022,"3,28%"
BATATAIS,SP,01/09/2022,"2,17%"
GRAJAU,MA,01/09/2022,"28,57%"
PONTE NOVA,MG,01/09/2022,"6,41%"
SANTO AMARO,BA,01/09/2022,"0,00%"
HORIZONTE,CE,01/09/2022,"17,95%"
ACARAU,CE,01/09/2022,"11,11%"
MORENO,PE,01/09/2022,"39,13%"
UNIAO DA VITORIA,PR,01/09/2022,"4,92%"
SANTA IZABEL DO PARA,PA,01/09/2022,"0,00%"
LIMOEIRO DO NORTE,CE,01/09/2022,"3,57%"
ANDRADINA,SP,01/09/2022,"4,24%"
BARRA DO GARCAS,MT,01/09/2022,"9,92%"
GUARABIRA,PB,01/09/2022,"13,70%"
MIRASSOL,SP,01/09/2022,"5,71%"
INDAIAL,SC,01/09/2022,"5,69%"
SALGUEIRO,PE,01/09/2022,"12,31%"
TRES PONTAS,MG,01/09/2022,"25,00%"
SAO MIGUEL DOS CAMPOS,AL,01/09/2022,"13,64%"
IRATI,PR,01/09/2022,"10,00%"
RIO BONITO,RJ,01/09/2022,"6,19%"
BARBALHA,CE,01/09/2022,"10,53%"
IBITINGA,SP,01/09/2022,"5,68%"
LAGOA SANTA,MG,01/09/2022,"4,10%"
TAQUARA,RS,01/09/2022,"7,69%"
PIRAPORA,MG,01/09/2022,"10,53%"
TAUA,CE,01/09/2022,"12,50%"
LIMOEIRO,PE,01/09/2022,"10,00%"
CABEDELO,PB,01/09/2022,"5,00%"
REGISTRO,SP,01/09/2022,"21,05%"
TIMBAUBA,PE,01/09/2022,"11,11%"
TAQUARITINGA,SP,01/09/2022,"26,67%"
CACHOEIRAS DE MACACU,RJ,01/09/2022,"15,38%"
CANOINHAS,SC,01/09/2022,"14,89%"
MARIANA,MG,01/09/2022,"9,52%"
PORTO FERREIRA,SP,01/09/2022,"4,82%"
FRUTAL,MG,01/09/2022,"14,81%"
GUAPIMIRIM,RJ,01/09/2022,"10,53%"
SAO BENTO DO UNA,PE,01/09/2022,"50,00%"
CAMPO BELO,MG,01/09/2022,"11,32%"
SAO PAULO,SP,01/10/2022,"7,26%"
RIO DE JANEIRO,RJ,01/10/2022,"8,27%"
SALVADOR,BA,01/10/2022,"10,85%"
BRASILIA,DF,01/10/2022,"6,08%"
FORTALEZA,CE,01/10/2022,"7,47%"
BELO HORIZONTE,MG,01/10/2022,"7,09%"
MANAUS,AM,01/10/2022,"9,89%"
CURITIBA,PR,01/10/2022,"6,20%"
RECIFE,PE,01/10/2022,"6,60%"
BELEM,PA,01/10/2022,"9,11%"
PORTO ALEGRE,RS,01/10/2022,"6,11%"
GOIANIA,GO,01/10/2022,"8,05%"
GUARULHOS,SP,01/10/2022,"7,66%"
CAMPINAS,SP,01/10/2022,"6,14%"
SAO LUIS,MA,01/10/2022,"7,61%"
SAO GONCALO,RJ,01/10/2022,"12,27%"
MACEIO,AL,01/10/2022,"10,14%"
DUQUE DE CAXIAS,RJ,01/10/2022,"13,14%"
NATAL,RN,01/10/2022,"8,75%"
TERESINA,PI,01/10/2022,"6,95%"
NOVA IGUACU,RJ,01/10/2022,"11,91%"
CAMPO GRANDE,MS,01/10/2022,"9,70%"
JOAO PESSOA,PB,01/10/2022,"7,90%"
SAO BERNARDO DO CAMPO,SP,01/10/2022,"7,16%"
OSASCO,SP,01/10/2022,"6,96%"
SANTO ANDRE,SP,01/10/2022,"5,89%"
